week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2018-01-27","2018-01-20","04000US48","Texas",14275,140604,11706892,1.2,1517029200000,"January 27th, 2018","04000US48","Texas"
"2018-01-20","2018-01-13","04000US13","Georgia",4852,31607,4211074,0.75,1516424400000,"January 20th, 2018","04000US13","Georgia"
"2018-01-20","2018-01-13","04000US26","Michigan",14269,91278,4222916,2.16,1516424400000,"January 20th, 2018","04000US26","Michigan"
"2018-01-20","2018-01-13","04000US36","New York",18072,182096,9098147,2,1516424400000,"January 20th, 2018","04000US36","New York"
"2018-01-20","2018-01-13","04000US42","Pennsylvania",17051,148245,5670963,2.61,1516424400000,"January 20th, 2018","04000US42","Pennsylvania"
"2018-01-20","2018-01-13","04000US48","Texas",12793,144349,11706892,1.23,1516424400000,"January 20th, 2018","04000US48","Texas"
"2018-01-13","2018-01-06","04000US13","Georgia",11290,40703,4211074,0.97,1515819600000,"January 13th, 2018","04000US13","Georgia"
"2018-01-13","2018-01-06","04000US26","Michigan",15190,94758,4222916,2.24,1515819600000,"January 13th, 2018","04000US26","Michigan"
"2018-01-13","2018-01-06","04000US36","New York",23026,188087,9098147,2.07,1515819600000,"January 13th, 2018","04000US36","New York"
"2018-01-13","2018-01-06","04000US42","Pennsylvania",27976,164548,5670963,2.9,1515819600000,"January 13th, 2018","04000US42","Pennsylvania"
"2018-01-13","2018-01-06","04000US48","Texas",20540,144179,11706892,1.23,1515819600000,"January 13th, 2018","04000US48","Texas"
"2018-01-06","2017-12-30","04000US13","Georgia",19490,44619,4190963,1.06,1515214800000,"January 6th, 2018","04000US13","Georgia"
"2018-01-06","2017-12-30","04000US26","Michigan",19854,82735,4207925,1.97,1515214800000,"January 6th, 2018","04000US26","Michigan"
"2018-01-06","2017-12-30","04000US36","New York",49361,195640,9069984,2.16,1515214800000,"January 6th, 2018","04000US36","New York"
"2018-01-06","2017-12-30","04000US42","Pennsylvania",34318,139385,5656017,2.46,1515214800000,"January 6th, 2018","04000US42","Pennsylvania"
"2018-01-06","2017-12-30","04000US48","Texas",14973,148901,11604324,1.28,1515214800000,"January 6th, 2018","04000US48","Texas"
